station_id,water_year,year,month,day,daily_rain,
200,2019,2019,1,6,1.37,
200,2019,2019,1,7,2.02,
200,2019,2019,1,8,0.01,
200,2019,2019,1,10,0.08,
200,2019,2019,1,11,0.01,
200,2019,2019,1,12,0.95,
200,2019,2019,1,14,0.01,
200,2019,2019,1,15,0.04,
200,2019,2019,1,16,0.90,
200,2019,2019,1,17,0.58,
200,2019,2019,1,20,0.01,
200,2019,2019,1,31,1.09,
200,2019,2019,2,1,0.19,
200,2019,2019,2,2,1.43,
200,2019,2019,2,3,0.55,
200,2019,2019,2,4,0.52,
200,2019,2019,2,5,0.35,
200,2019,2019,2,6,0.01,
200,2019,2019,2,9,0.70,
200,2019,2019,2,10,0.12,
200,2019,2019,2,11,0.10,
200,2019,2019,2,14,0.57,
200,2019,2019,2,15,0.06,
200,2019,2019,2,16,0.26,
200,2019,2019,2,18,0.02,
200,2019,2019,2,28,0.68,
200,2019,2019,3,1,0.02,
200,2019,2019,3,2,1.23,
200,2019,2019,3,3,0.27,
200,2019,2019,3,4,0.01,
200,2019,2019,3,6,1.69,
200,2019,2019,3,7,0.05,
200,2019,2019,3,20,0.12,
200,2019,2019,3,21,0.18,
200,2019,2019,3,23,0.01,
200,2019,2019,3,27,0.02,
200,2019,2019,3,28,0.08,
200,2019,2019,4,26,0.01,
200,2019,2019,4,27,0.01,
200,2019,2019,4,28,0.02,
200,2019,2019,4,29,0.07,
200,2019,2019,5,7,0.03,
200,2019,2019,5,8,0.01,
200,2019,2019,5,16,0.93,
200,2019,2019,5,17,0.01,
200,2019,2019,5,19,0.96,
200,2019,2019,6,7,0.01,
200,2019,2019,6,25,0.03,
200,2019,2019,8,21,0.01,
